#      x          Cp  
     1.00000    0.21711
     0.99144    0.10361
     0.97850    0.07628
     0.96519    0.05806
     0.95185    0.04517
     0.93851    0.03498
     0.92517    0.02649
     0.91183    0.01917
     0.89849    0.01270
     0.88515    0.00688
     0.87180    0.00157
     0.85846   -0.00334
     0.84511   -0.00792
     0.83177   -0.01222
     0.81842   -0.01629
     0.80508   -0.02017
     0.79173   -0.02388
     0.77838   -0.02745
     0.76503   -0.03091
     0.75168   -0.03427
     0.73833   -0.03753
     0.72499   -0.04073
     0.71164   -0.04386
     0.69829   -0.04694
     0.68494   -0.04998
     0.67159   -0.05297
     0.65824   -0.05594
     0.64489   -0.05889
     0.63154   -0.06181
     0.61819   -0.06472
     0.60484   -0.06762
     0.59149   -0.07051
     0.57814   -0.07340
     0.56479   -0.07628
     0.55144   -0.07917
     0.53810   -0.08206
     0.52475   -0.08495
     0.51140   -0.08785
     0.49806   -0.09075
     0.48471   -0.09367
     0.47137   -0.09658
     0.45802   -0.09951
     0.44468   -0.10244
     0.43134   -0.10538
     0.41800   -0.10833
     0.40466   -0.11128
     0.39132   -0.11424
     0.37798   -0.11719
     0.36465   -0.12015
     0.35132   -0.12311
     0.33799   -0.12607
     0.32466   -0.12902
     0.31133   -0.13196
     0.29801   -0.13489
     0.28469   -0.13780
     0.27138   -0.14069
     0.25806   -0.14356
     0.24476   -0.14639
     0.23146   -0.14919
     0.21816   -0.15195
     0.20487   -0.15466
     0.19159   -0.15730
     0.17832   -0.15988
     0.16506   -0.16238
     0.15182   -0.16477
     0.13859   -0.16705
     0.12538   -0.16918
     0.11220   -0.17114
     0.09905   -0.17285
     0.08595   -0.17423
     0.07291   -0.17515
     0.05996   -0.17530
     0.04716   -0.17411
     0.03461   -0.17011
     0.02265   -0.15916
     0.01248   -0.12679
     0.00610   -0.04501
     0.00275    0.11788
     0.00094    0.42539
     0.00010    0.89927
     0.00010    0.89927
     0.00094    0.42539
     0.00275    0.11788
     0.00610   -0.04501
     0.01248   -0.12679
     0.02265   -0.15916
     0.03461   -0.17011
     0.04716   -0.17411
     0.05996   -0.17530
     0.07291   -0.17515
     0.08595   -0.17423
     0.09905   -0.17285
     0.11220   -0.17114
     0.12538   -0.16918
     0.13859   -0.16705
     0.15182   -0.16477
     0.16506   -0.16238
     0.17832   -0.15988
     0.19159   -0.15730
     0.20487   -0.15466
     0.21816   -0.15195
     0.23146   -0.14919
     0.24476   -0.14639
     0.25806   -0.14356
     0.27138   -0.14069
     0.28469   -0.13780
     0.29801   -0.13489
     0.31133   -0.13196
     0.32466   -0.12902
     0.33799   -0.12607
     0.35132   -0.12311
     0.36465   -0.12015
     0.37798   -0.11719
     0.39132   -0.11424
     0.40466   -0.11128
     0.41800   -0.10833
     0.43134   -0.10538
     0.44468   -0.10244
     0.45802   -0.09951
     0.47137   -0.09658
     0.48471   -0.09367
     0.49806   -0.09075
     0.51140   -0.08785
     0.52475   -0.08495
     0.53810   -0.08206
     0.55144   -0.07917
     0.56479   -0.07628
     0.57814   -0.07340
     0.59149   -0.07051
     0.60484   -0.06762
     0.61819   -0.06472
     0.63154   -0.06181
     0.64489   -0.05889
     0.65824   -0.05594
     0.67159   -0.05297
     0.68494   -0.04998
     0.69829   -0.04694
     0.71164   -0.04386
     0.72499   -0.04073
     0.73833   -0.03753
     0.75168   -0.03427
     0.76503   -0.03091
     0.77838   -0.02745
     0.79173   -0.02388
     0.80508   -0.02017
     0.81842   -0.01629
     0.83177   -0.01222
     0.84511   -0.00792
     0.85846   -0.00334
     0.87180    0.00157
     0.88515    0.00688
     0.89849    0.01270
     0.91183    0.01917
     0.92517    0.02649
     0.93851    0.03498
     0.95185    0.04517
     0.96519    0.05806
     0.97850    0.07628
     0.99144    0.10361
     1.00000    0.21711
